"Game_id"	"Event_Num"	"Event_Msg_Type"	"Period"	"WC_Time"	"PC_Time"	"Action_Type"	"Option1"	"Option2"	"Option3"	"Team_id"	"Person1"	"Person2"	"Person3"	"Team_id_type"	"Person1_type"	"Person2_type"	"Person3_type"
"006728e4c10e957011e1f24878e6054a"	2	12	1	546410	7200	0	0	0	0	"1473d70e5646a26de3c52aa1abd85b1f"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	0	0	0	0
"006728e4c10e957011e1f24878e6054a"	4	10	1	546420	7200	0	0	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"8d2127290c94bd41b82a2938734bc750"	"99104de2626f67c1fa2ce70504970c3f"	"766802a8fda500d7945950de7398c9c6"	2	4	5	4
"006728e4c10e957011e1f24878e6054a"	7	1	1	546590	7020	79	2	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"42e0d7167f04a4ff958c6442da0e6851"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"006728e4c10e957011e1f24878e6054a"	8	6	1	546620	7020	2	0	0	1	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"616281dee946056b071699476fdee9ec"	"42e0d7167f04a4ff958c6442da0e6851"	"0b1c631effab25d4af2d16fc123c3d31"	2	5	4	1
"006728e4c10e957011e1f24878e6054a"	10	3	1	546810	7020	10	1	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"42e0d7167f04a4ff958c6442da0e6851"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"006728e4c10e957011e1f24878e6054a"	11	1	1	546970	6900	79	2	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"e814950408915f43de2b079dce7c21c5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"006728e4c10e957011e1f24878e6054a"	12	2	1	547190	6680	63	2	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"42e0d7167f04a4ff958c6442da0e6851"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"006728e4c10e957011e1f24878e6054a"	13	4	1	547200	6660	0	0	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"616281dee946056b071699476fdee9ec"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	5	0	0
"006728e4c10e957011e1f24878e6054a"	14	2	1	547260	6610	41	2	1	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"48ec4e6c52f418d5ca4ef510ba473ea0"	"0370a0d090da0d0edc6319f120187e0e"	"8d2127290c94bd41b82a2938734bc750"	3	5	0	4
"006728e4c10e957011e1f24878e6054a"	15	4	1	547280	6610	0	0	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"42e0d7167f04a4ff958c6442da0e6851"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	4	0	0
"006728e4c10e957011e1f24878e6054a"	16	6	1	547340	6540	2	0	0	2	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"99104de2626f67c1fa2ce70504970c3f"	"8d2127290c94bd41b82a2938734bc750"	"a1277b068e23d54de9770dd59b31879e"	2	5	4	1
"006728e4c10e957011e1f24878e6054a"	18	3	1	547630	6540	11	1	1	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"8d2127290c94bd41b82a2938734bc750"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"006728e4c10e957011e1f24878e6054a"	19	3	1	547800	6540	12	1	1	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"8d2127290c94bd41b82a2938734bc750"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	2	4	0	0
"006728e4c10e957011e1f24878e6054a"	20	2	1	547950	6420	6	2	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"e814950408915f43de2b079dce7c21c5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"006728e4c10e957011e1f24878e6054a"	22	1	1	547990	6360	72	2	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"99104de2626f67c1fa2ce70504970c3f"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"006728e4c10e957011e1f24878e6054a"	21	4	1	547990	6360	0	0	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"99104de2626f67c1fa2ce70504970c3f"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"006728e4c10e957011e1f24878e6054a"	23	5	1	548170	6180	1	1	0	0	"01be0ad4af7aeb1f6d2cc2b6b6d6d811"	"8d2127290c94bd41b82a2938734bc750"	"48ec4e6c52f418d5ca4ef510ba473ea0"	"0370a0d090da0d0edc6319f120187e0e"	2	4	5	0
"006728e4c10e957011e1f24878e6054a"	25	2	1	548250	6150	5	2	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"e814950408915f43de2b079dce7c21c5"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	5	0	0
"006728e4c10e957011e1f24878e6054a"	26	4	1	548280	6150	0	0	0	0	"45ba8fc87f55b1191c50c400dc7ed11c"	"eb663a4ba8e90722905ef24a17c00df1"	"0370a0d090da0d0edc6319f120187e0e"	"0370a0d090da0d0edc6319f120187e0e"	3	2	0	0
